entry_date,entry_price,position,stop_loss,exit_date,exit_price,pnl,symbol,holding_days,return_pct
2024-01-18,551.7371826171875,10,True,2024-02-13,507.1925048828125,-445.44677734375,HINDALCO.NS,26,-8.073531952853989
2024-02-13,507.1925048828125,10,481.83287963867184,2024-02-15,510.27484130859375,30.8233642578125,HINDALCO.NS,2,0.6077251528970106
2024-02-16,512.7605590820312,10,487.1225311279297,2024-02-19,509.37994384765625,-33.80615234375,HINDALCO.NS,3,-0.6592970489826949
2024-02-20,508.6839599609375,10,483.2497619628906,2024-02-21,508.8827819824219,1.98822021484375,HINDALCO.NS,1,0.039085569259868704
2024-02-22,518.1795654296875,10,492.2705871582031,2024-02-23,515.3954467773438,-27.8411865234375,HINDALCO.NS,1,-0.5372883915318214
2024-02-26,502.1712646484375,10,477.0627014160156,2024-02-27,506.74505615234375,45.7379150390625,HINDALCO.NS,1,0.9108031115855051
2024-02-28,501.52496337890625,10,476.44871520996094,2024-02-29,500.9781188964844,-5.46844482421875,HINDALCO.NS,1,-0.10903634362238704
2024-03-01,516.1411743164062,10,490.3341156005859,2024-03-04,521.9578857421875,58.1671142578125,HINDALCO.NS,3,1.1269613267116476
2024-07-19,659.2210083007812,10,626.2599578857422,2024-07-31,665.7833251953125,65.6231689453125,HINDALCO.NS,12,0.9954653768462848
2024-08-02,644.356201171875,10,True,2024-08-05,610.798583984375,-335.576171875,HINDALCO.NS,3,-5.20792957784368
2024-08-05,610.798583984375,10,580.2586547851562,2024-08-06,606.8213500976562,-39.7723388671875,HINDALCO.NS,1,-0.6511530954728757
2024-08-07,620.14501953125,10,589.1377685546875,2024-08-08,610.5499877929688,-95.9503173828125,HINDALCO.NS,1,-1.5472238647556762
2024-08-09,622.9000244140625,10,591.7550231933593,2024-08-12,629.3499755859375,64.49951171875,HINDALCO.NS,3,1.0354713307231307
2024-08-13,621.4000244140625,10,590.3300231933594,2024-08-14,621.4500122070312,0.4998779296875,HINDALCO.NS,1,0.008044382202251288
2024-09-09,658.5499877929688,10,625.6224884033203,2024-09-24,717.8499755859375,592.9998779296875,HINDALCO.NS,15,9.004629700427715
2024-10-24,690.7000122070312,10,True,2024-11-07,648.0999755859375,-426.0003662109375,HINDALCO.NS,14,-6.167661194180602
2024-11-07,648.0999755859375,10,615.6949768066406,2024-11-11,655.3499755859375,72.5,HINDALCO.NS,4,1.1186545707620776
2024-11-12,651.6500244140625,10,619.0675231933593,2024-11-13,626.5999755859375,-250.50048828125,HINDALCO.NS,1,-3.8440954330737567
2024-11-14,627.3499755859375,10,595.9824768066406,2024-11-18,651.0499877929688,237.0001220703125,HINDALCO.NS,4,3.7777975817876968
2024-11-19,640.0,10,608.0,2024-11-21,648.0499877929688,80.4998779296875,HINDALCO.NS,2,1.2578105926513672
2024-11-22,652.0999755859375,10,619.4949768066406,2024-11-25,659.8499755859375,77.5,HINDALCO.NS,3,1.1884680708715438
2024-12-17,639.4500122070312,10,607.4775115966796,2024-12-18,633.0,-64.5001220703125,HINDALCO.NS,1,-1.0086812235360416
2024-12-19,629.3499755859375,10,597.8824768066406,2024-12-20,622.6500244140625,-66.99951171875,HINDALCO.NS,1,-1.0645827332617612
2024-12-23,634.1500244140625,10,602.4425231933593,2024-12-24,627.4500122070312,-67.0001220703125,HINDALCO.NS,1,-1.056534250427867
2024-12-26,628.75,10,597.3125,2024-12-27,617.4000244140625,-113.499755859375,HINDALCO.NS,1,-1.8051651031312128
2024-12-30,601.0999755859375,10,571.0449768066406,2024-12-31,602.4500122070312,13.5003662109375,HINDALCO.NS,1,0.2245943563344463
2025-01-01,592.9500122070312,10,563.3025115966797,2025-01-02,599.0,60.4998779296875,HINDALCO.NS,1,1.0203200385222977
2025-01-03,591.1500244140625,10,561.5925231933594,2025-01-06,574.0999755859375,-170.50048828125,HINDALCO.NS,3,-2.8842168864028563
2025-01-07,584.5,10,555.275,2025-01-08,586.6500244140625,21.500244140625,HINDALCO.NS,1,0.367839933971343
2025-01-09,589.25,10,559.7875,2025-01-10,574.4500122070312,-147.9998779296875,HINDALCO.NS,1,-2.5116653021584643
2025-01-13,563.75,10,535.5625,2025-01-14,590.9000244140625,271.500244140625,HINDALCO.NS,1,4.815968853935698
2025-01-28,573.8499755859375,10,545.1574768066406,2025-01-29,584.0999755859375,102.5,HINDALCO.NS,1,1.786181133759585
2025-02-03,574.0499877929688,10,545.3474884033203,2025-02-04,583.9500122070312,99.000244140625,HINDALCO.NS,1,1.7245927401069723
2025-04-03,652.6500244140625,10,True,2025-04-04,599.9500122070312,-527.0001220703125,HINDALCO.NS,1,-8.074773651367648
2025-04-04,599.9500122070312,10,True,2025-04-07,561.7999877929688,-381.500244140625,HINDALCO.NS,3,-6.35886717857048
2025-04-07,561.7999877929688,10,533.7099884033203,2025-04-23,629.0999755859375,672.9998779296875,HINDALCO.NS,16,11.979350170041254
2025-05-30,633.5,10,601.8249999999999,2025-06-26,690.5999755859375,570.999755859375,HINDALCO.NS,27,9.013413667867008
