entry_date,entry_price,position,stop_loss,exit_date,exit_price,pnl,open_at_end,symbol,holding_days,return_pct
2024-03-12,3119.646240234375,10,True,2024-03-13,2903.5439453125,-2161.02294921875,,ADANIENT.NS,1,-6.927141037172199
2024-03-13,2903.5439453125,10,2758.366748046875,2024-04-03,3230.494873046875,3269.50927734375,,ADANIENT.NS,21,11.260409137674898
2024-04-18,3016.54052734375,10,2865.7135009765625,2024-04-19,3024.18359375,76.4306640625,,ADANIENT.NS,1,0.25337191186289787
2024-04-22,3060.550537109375,10,2907.5230102539062,2024-04-23,3062.298828125,17.48291015625,,ADANIENT.NS,1,0.05712341601378109
2024-04-24,3040.768310546875,10,2888.7298950195313,2024-04-25,3112.40283203125,716.34521484375,,ADANIENT.NS,1,2.3558033420669164
2024-04-26,3077.58447265625,10,2923.7052490234373,2024-04-29,3078.3837890625,7.9931640625,,ADANIENT.NS,3,0.02597220038480742
2024-04-30,3051.908203125,10,2899.31279296875,2024-05-02,3036.822021484375,-150.86181640625,,ADANIENT.NS,2,-0.4943196399281443
2024-05-03,2990.51416015625,10,2840.9884521484373,2024-05-06,2872.022705078125,-1184.91455078125,,ADANIENT.NS,3,-3.9622435719192177
2024-05-07,2833.358154296875,10,2691.6902465820312,2024-05-08,2857.935546875,245.77392578125,,ADANIENT.NS,1,0.8674297861303778
2024-05-09,2764.121337890625,10,2625.9152709960936,2024-05-10,2794.693603515625,305.72265625,,ADANIENT.NS,1,1.1060392033415767
2024-05-13,2876.96826171875,10,2733.1198486328126,2024-05-14,3034.77392578125,1578.056640625,,ADANIENT.NS,1,5.485137467878224
2024-06-04,2938.561767578125,10,2791.6336791992185,2024-07-18,3090.61962890625,1520.57861328125,,ADANIENT.NS,44,5.174567470584311
2024-07-19,3004.163818359375,10,2853.9556274414062,2024-07-22,2999.31640625,-48.47412109375,,ADANIENT.NS,3,-0.1613564506619434
2024-07-23,2993.8193359375,10,2844.1283691406247,2024-07-24,2969.181884765625,-246.37451171875,,ADANIENT.NS,1,-0.8229438188246554
2024-07-25,2971.98046875,10,2823.3814453125,2024-07-26,3078.92578125,1069.453125,,ADANIENT.NS,1,3.598452736298791
2024-08-28,3026.45263671875,10,2875.1300048828125,2024-08-29,3018.6064453125,-78.4619140625,,ADANIENT.NS,1,-0.25925373194529033
2024-08-30,3017.80712890625,10,2866.9167724609374,2024-09-02,3040.59521484375,227.880859375,,ADANIENT.NS,3,0.7551206874429757
