Date,Close,Stock,rsi,ma20,ma50,signal,signal_label
2024-12-26,2308.4736328125,HINDUNILVR.NS,,,,0,
2024-12-27,2316.88525390625,HINDUNILVR.NS,,,,0,
2024-12-30,2319.11181640625,HINDUNILVR.NS,,,,0,
2024-12-31,2302.63525390625,HINDUNILVR.NS,,,,0,
2025-01-01,2297.9345703125,HINDUNILVR.NS,,,,0,
2025-01-02,2345.3359375,HINDUNILVR.NS,,,,0,
2025-01-03,2381.208740234375,HINDUNILVR.NS,,,,0,
2025-01-06,2351.471435546875,HINDUNILVR.NS,,,,0,
2025-01-07,2365.919677734375,HINDUNILVR.NS,,,,0,
2025-01-08,2376.013427734375,HINDUNILVR.NS,,,,0,
2025-01-09,2410.055419921875,HINDUNILVR.NS,,,,0,
2025-01-10,2416.63623046875,HINDUNILVR.NS,,,,0,
2025-01-13,2425.4931640625,HINDUNILVR.NS,,,,0,
2025-01-14,2343.307373046875,HINDUNILVR.NS,49.800935200316395,,,0,
2025-01-15,2348.304931640625,HINDUNILVR.NS,50.98836225012175,,,0,
2025-01-16,2320.59619140625,HINDUNILVR.NS,44.67807238776487,,,0,
2025-01-17,2329.50244140625,HINDUNILVR.NS,46.95066190806113,,,0,
2025-01-20,2320.794189453125,HINDUNILVR.NS,45.00397822349878,,,0,
2025-01-21,2316.14306640625,HINDUNILVR.NS,43.955690963854785,,,0,
2025-01-22,2318.5673828125,HINDUNILVR.NS,44.679019214964235,2345.7195068359374,,0,
2025-01-23,2297.53857421875,HINDUNILVR.NS,39.871939528920876,2345.17275390625,,0,
2025-01-24,2343.455810546875,HINDUNILVR.NS,52.01278635952008,2346.5012817382812,,0,
2025-01-27,2367.9482421875,HINDUNILVR.NS,57.00023785735153,2348.9431030273436,,0,
2025-01-28,2363.989990234375,HINDUNILVR.NS,55.98749222150863,2352.01083984375,,0,
2025-01-29,2359.140869140625,HINDUNILVR.NS,54.705172324305565,2355.071154785156,,0,
2025-01-30,2383.682861328125,HINDUNILVR.NS,59.73202979767793,2356.9885009765626,,0,
2025-01-31,2443.10791015625,HINDUNILVR.NS,68.76989438614373,2360.083459472656,,0,
2025-02-01,2479.97021484375,HINDUNILVR.NS,72.84185700811916,2366.5083984375,,0,
2025-02-03,2416.537109375,HINDUNILVR.NS,58.666377074085496,2369.039270019531,,0,
2025-02-04,2412.677978515625,HINDUNILVR.NS,57.92778960546702,2370.8724975585938,,0,
2025-02-05,2366.1669921875,HINDUNILVR.NS,49.79162553507001,2368.678076171875,,0,
2025-02-06,2348.0078125,HINDUNILVR.NS,47.0151374697534,2365.2466552734377,,0,
2025-02-07,2339.250244140625,HINDUNILVR.NS,45.69186172126198,2360.9345092773438,,0,
2025-02-10,2336.875,HINDUNILVR.NS,45.31929403749989,2360.612890625,,0,
2025-02-11,2291.15576171875,HINDUNILVR.NS,38.76686373923139,2357.7554321289062,,0,
2025-02-12,2308.226318359375,HINDUNILVR.NS,42.131183412446575,2357.1369384765626,,0,
2025-02-13,2297.3408203125,HINDUNILVR.NS,40.59933776934652,2355.528857421875,,0,
2025-02-14,2294.2236328125,HINDUNILVR.NS,40.14915685165348,2354.200329589844,,0,
2025-02-17,2305.158447265625,HINDUNILVR.NS,42.55545853600048,2353.6510986328126,,0,
2025-02-18,2272.106201171875,HINDUNILVR.NS,37.63058568154344,2351.3280395507813,,0,
2025-02-19,2226.980712890625,HINDUNILVR.NS,32.15862638246432,2347.800146484375,,0,
2025-02-20,2224.6552734375,HINDUNILVR.NS,31.901186092030713,2341.8601196289064,,0,
2025-02-21,2218.321533203125,HINDUNILVR.NS,31.169295923231047,2334.3787841796875,,0,
2025-02-24,2218.123779296875,HINDUNILVR.NS,31.145269966574645,2327.0854736328124,,0,
2025-02-25,2235.7880859375,HINDUNILVR.NS,35.898390614595144,2320.917834472656,,0,
2025-02-27,2221.58740234375,HINDUNILVR.NS,33.87393593338979,2312.8130615234377,,0,
2025-02-28,2167.45654296875,HINDUNILVR.NS,27.50621207238234,2299.0304931640626,,0,
2025-03-03,2154.1962890625,HINDUNILVR.NS,26.206579744644216,2282.741796875,,0,
2025-03-04,2134.899169921875,HINDUNILVR.NS,24.39981513125602,2268.6598999023436,,0,
2025-03-05,2147.862548828125,HINDUNILVR.NS,27.991399104369734,2255.4191284179688,2317.8164453125,0,
2025-03-06,2195.85791015625,HINDUNILVR.NS,39.45913145830713,2246.903674316406,2315.564130859375,0,
2025-03-07,2181.60791015625,HINDUNILVR.NS,37.54720546793988,2238.5836791992188,2312.858583984375,0,
2025-03-10,2224.358154296875,HINDUNILVR.NS,46.00042781831811,2232.839074707031,2310.9635107421873,0,
2025-03-11,2193.878662109375,HINDUNILVR.NS,41.66984713095697,2225.6892578125,2308.78837890625,0,
2025-03-12,2170.0791015625,HINDUNILVR.NS,38.61306533584246,2219.6354248046873,2306.23126953125,0,
2025-03-13,2152.16748046875,HINDUNILVR.NS,36.44613641337051,2211.832482910156,2302.367900390625,0,
2025-03-17,2148.654296875,HINDUNILVR.NS,36.019169018744435,2204.398156738281,2297.7168115234376,0,
2025-03-18,2148.654296875,HINDUNILVR.NS,36.019169018744435,2197.1196899414062,2293.66046875,0,
2025-03-19,2177.15478515625,HINDUNILVR.NS,42.37108150250637,2190.7195068359374,2289.8851708984375,0,
2025-03-20,2219.06396484375,HINDUNILVR.NS,50.20036987561397,2188.0673950195314,2286.746181640625,0,
2025-03-21,2222.824462890625,HINDUNILVR.NS,50.845674022541175,2187.859582519531,2283.0015625,0,
2025-03-24,2232.72021484375,HINDUNILVR.NS,52.586782706246986,2188.262829589844,2279.3232421875,0,
2025-03-25,2247.663330078125,HINDUNILVR.NS,55.16915070307563,2189.7299194335938,2275.7666455078124,0,
