entry_date,entry_price,position,exit_date,exit_price,pnl,stop_loss,symbol,holding_days,return_pct
2024-12-26,1771.26416015625,10,2025-01-08,1675.86376953125,-954.00390625,True,HDFCBANK.NS,13,-5.386005812740228
2025-01-08,1675.86376953125,10,2025-01-10,1638.7222900390625,-371.414794921875,,HDFCBANK.NS,2,-2.21625887303335
